Camera Anchor,PositionX,PositionY,PositionZ,RotationY,KeyObject1,KeyObject2,KeyObject3,Description
2-0,-4.86,1.18,0.63,0,WindowFrame,,,A WindowFrame is set against a backdrop of a building. A small light source can be seen through the window; illuminating the space and creating a sense of adventure and curiosity.
01月02日,-4.86,1.18,0.63,45,PotionBottle,GhostToy,FirePlace,A PotionBottle sits on a shelf next to a FirePlace; creating a cozy atmosphere. A floating GhostToy can also be seen; adding a mysterious touch to the setting.
02月02日,-4.86,1.18,0.63,90,PotionBottle,GhostToy,HouseInterior,A creepy-looking room with a checkered floor and a low ceiling is filled with various objects. A PotionBottle can be seen on a shelf; while a GhostToy is floating nearby.
03月02日,-4.86,1.18,0.63,135,instructionsPaper,Painting1,HouseInterior,You are inside a room with a wooden floor and a wall adorned with a Painting. There is an InstructionsPaper on display; and the HouseInterior can be seen in the background. The room is illuminated by a glowing green light; creating a mysterious atmosphere.
04月02日,-4.86,1.18,0.63,180,instructionsPaper,Painting2,Stove,There is a kitchen counter with a Pumpkin sitting on it. An InstructionsPaper is also present; likely providing guidance for a recipe or cooking instructions. Above the counter; a Painting hangs on the wall; adding a touch of artistic flair to the space. A stove can be seen in the background; indicating that this is indeed a kitchen setup. This scene could be part of an adventure game
05月02日,-4.86,1.18,0.63,225,Stove,Bookshelf,WindowFrame,A kitchen features a large stove; with a bookshelf nearby. The space also includes several windows that provide ample light. A variety of fruits; such as bananas; apples; and oranges; are scattered throughout the room; adding a touch of color and vibrancy to the environment.
06月02日,-4.86,1.18,0.63,270,Cauldron,Bookshelf,InstructionsPaper,A cauldron with a brewing button is placed beside a bookshelf filled with various books. An instructionsPaper is also visible; likely providing guidance for using the cauldron. The setting appears to be in a room; possibly a workshop or a wizard's lair; where potions and spells are concocted and studied.
07月02日,-4.86,1.18,0.63,315,Cauldron,Window,InstructionsPaper,A large pot is sitting on a stove; with a brewing button in front of it. A window is present in the background; allowing natural light to illuminate the space.
4-0,-5.6,1.3,-0.5,0,Cauldron,Window,BrewingButton,A large metal cauldron sits on a stove; with a window nearby. A brewing button is in front of the cauldron; suggesting that the area might be related to alchemy or potion-making.
01月04日,-5.6,1.3,-0.5,45,HouseInterior,Window,Shelf,You are inside a room with a house interior; a window; and a shelf. To your left is a large cauldron with a brewing button in front of it. The room is illuminated by a glowing aura; creating a mysterious atmosphere.
02月04日,-5.6,1.3,-0.5,90,HouseInterior,GhostToy,Shelf,A creepy-looking house interior is depicted with a glowing ghost toy floating beside a shelf. The room is dimly lit; adding to the eerie atmosphere.
03月04日,-5.6,1.3,-0.5,135,Walls,Pumpkin,PotionBottle,In the right of your view is a kitchen counter. On the counter; there are several pumpkins and potion bottles; creating a spooky atmosphere.
04月04日,-5.6,1.3,-0.5,180,Window,Pumpkin,PotionBottle,A table is set with various food items; including eggs; meat; oranges; and cheese. The table appears to be a kitchen counter; and the food items are displayed as if prepared for a Halloween feast.
05月04日,-5.6,1.3,-0.5,225,Window,Meat,Cheese,In the left of your view is a kitchen counter with a window above it. On the counter; there are eggs; meat; pumpkin toys; oranges; and slices of cheese; creating a unique and festive atmosphere.
06月04日,-5.6,1.3,-0.5,270,Bookshelf,Window,InstructionsPaper,A bookshelf filled with books; pumpkins; and potion bottles is next to a window. On the shelf; there is a piece of instructions paper. In front of the instructions paper is a green potion bottle.
07月04日,-5.6,1.3,-0.5,315,Bookshelf,Cauldron,InstructionsPaper,A bookshelf rests to the left of a large cauldron. On the bookshelf is a green potion bottle. Behind the potion bottle is an instructions paper.
5-0,-0.55,1,-0.19,0,Windows,Wall,HouseInterior,There are two windows in the room; one on the left side and another on the right side. The room appears to be part of a larger house interior.
01月05日,-0.55,1,-0.19,45,Windows,Treasure Chest,FirePlace,A treasure chest sits next to a window; while a fireplace burns nearby. The room is filled with various objects.
02月05日,-0.55,1,-0.19,90,Door,Treasure Chest,FirePlace,There is a fireplace in the scene; with a treasure chest to its left. Inside the chest lies an instructions paper and several wood logs. On top of the fireplace is a shelf with a few books and potion bottles of different colors.
03月05日,-0.55,1,-0.19,135,Door,Shelf,Window,You are inside a room with a shelf against the wall. A door with a window is also present in the room. The room has various objects scattered around; such as bottles and books on the shelf.
